Kangaskhan,Normal,Punch,None
Horsea,Water,Aqua Tail,Fire
Seadra,Water,Aqua Tail,Fire
Goldeen,Water,Aqua Tail,Fire
Seaking,Water,Aqua Tail,Fire
Staryu,Water,Water Pulse,Fire
Starmie,Water,Water Pulse,Fire
Mr. Mime,Psychic,Psychic,Fighting
Scyther,Bug,Scissor,Grass
Jynx,Ice,Ice Beam,Grass
Electabuzz,Electric,Electric Bolt,Water
Magmar,Fire,Fire Breathe,Grass
Pinsir,Bug,Horn Attack,Grass
Tauros,Normal,Hit,None
Magikarp,Water,Flop,Fire
Gyarados,Water,Hydro Pump,Fire
Lapras,Water,Ice Beam,Fire
Ditto,Normal,Tackle,None
Eevee,Normal,Tackle,None
Vaporeon,Water,Water Pump,Fire
Jolteon,Electric,Thunder,Water
Flareon,Fire,Blaze,Grass
Porygon,Normal,Shift,None
Omanyte,Rock,Rockfall,Fire
Omastar,Rock,Rockfall,Fire
Kabuto,Rock,Slash,Fire
Kabutops,Rock,Slash,Fire
Aerodactyl,Rock,Sky Attack,Fire
Snorlax,Normal,Sit,None
Articuno,Ice,Blizzard,Grass
Zapdos,Electric,Thunder,Water
Moltres,Fire,Blaze,Grass
Dratini,Dragon,Tackle,Dragon
Dragonair,Dragon,Dragon Tail,Dragon
Dragonite,Dragon,Dragon Pulse,Dragon
Mewtwo,Psychic,Psychic,Fighting
Mew,Psychic,Overpower,Fighting
